,date,account_value
265,2022-10-20,897847.9666093565
266,2022-10-21,908891.1222566343
267,2022-10-24,916506.5026887632
268,2022-10-25,935088.7666810728
269,2022-10-26,960131.3952592588
270,2022-10-27,962632.2934755064
271,2022-10-28,983650.572978375
272,2022-10-31,974940.1423524595
273,2022-11-01,972385.1480592466
274,2022-11-02,950938.0464967466
275,2022-11-03,929580.1973756528
276,2022-11-04,943962.9770692564
277,2022-11-07,957269.5012086607
278,2022-11-08,966220.4193834043
279,2022-11-09,937106.1259263731
280,2022-11-10,985551.8155549741
281,2022-11-11,985874.5424226499
282,2022-11-14,984335.9927095152
283,2022-11-15,1001860.6818193174
284,2022-11-16,1001598.7874101377
285,2022-11-17,1000724.214473126
286,2022-11-18,1005198.9933732725
287,2022-11-21,995940.4706987119
288,2022-11-22,1009864.2646974302
289,2022-11-23,1014091.7205613828
290,2022-11-25,1020838.0687669492
291,2022-11-28,1009814.9952119566
292,2022-11-29,1007841.0599931455
293,2022-11-30,1033897.9263337827
294,2022-12-01,1034632.9171174741
295,2022-12-02,1035319.5374482847
296,2022-12-05,1020356.1938508726
297,2022-12-06,1003559.9134553648
298,2022-12-07,999168.3006547666
299,2022-12-08,1001955.1953233457
300,2022-12-09,996447.798785565
301,2022-12-12,1020166.9638017393
302,2022-12-13,1016648.5164827085
303,2022-12-14,1011129.3479493833
304,2022-12-15,988584.9181932188
305,2022-12-16,977512.6625016904
306,2022-12-19,970450.6382554746
307,2022-12-20,973975.1458314634
308,2022-12-21,982420.8529161192
309,2022-12-22,972774.6165498472
310,2022-12-23,977602.4165528989
311,2022-12-27,977917.4586366392
312,2022-12-28,968178.4721940733
313,2022-12-29,981830.8506196714
314,2022-12-30,980866.4997132993
315,2023-01-03,980890.6255983091
316,2023-01-04,998969.2960466123
317,2023-01-05,988920.2142671323
318,2023-01-06,1016248.5064653135
319,2023-01-09,1016752.4737504697
320,2023-01-10,1025267.1519883848
321,2023-01-11,1032529.3237642027
322,2023-01-12,1036332.3918336607
323,2023-01-13,1037216.4519380308
324,2023-01-17,1030381.3458055235
325,2023-01-18,1011427.3111375547
326,2023-01-19,1007525.095004437
327,2023-01-20,1024332.8861039854
328,2023-01-23,1030391.1473954893
329,2023-01-24,1031850.6897386289
330,2023-01-25,1036041.4197953916
331,2023-01-26,1034987.1124604917
332,2023-01-27,1073234.3888658262
333,2023-01-30,1067034.6382096983
334,2023-01-31,1076387.1735185361
335,2023-02-01,1077421.4043992735
336,2023-02-02,1071802.0103715635
337,2023-02-03,1077882.8290437437
338,2023-02-06,1072511.5793489194
339,2023-02-07,1080860.8116563535
340,2023-02-08,1077279.7141755796
341,2023-02-09,1076963.2002137876
342,2023-02-10,1074071.0050538755
343,2023-02-13,1084646.38453233
344,2023-02-14,1083882.2337983823
345,2023-02-15,1083767.2900422788
346,2023-02-16,1068971.038806317
347,2023-02-17,1065204.1974824644
348,2023-02-21,1052474.7834275938
349,2023-02-22,1049211.1831544614
350,2023-02-23,1050809.3748506284
351,2023-02-24,1045834.4550584531
352,2023-02-27,1045871.7447389341
